Scenario ID,Instance ID,LP Relaxation,Proposed Algorithm,Naive Heuristic,LP Time,Proposed Time,Naive Time,Proposed Gap (%),Naive Gap (%)
1,1,16671027.3778,17266955.0000,17374157.0000,0.0186,0.0001,0.0000,3.5746,4.2177
1,2,16433722.2992,17010427.0000,17117380.0000,0.0014,0.0001,0.0000,3.5093,4.1601
1,3,16319785.7366,16896737.0000,17003896.0000,0.0011,0.0001,0.0000,3.5353,4.1919
1,4,15875801.3540,16434863.0000,16538132.0000,0.0013,0.0001,0.0000,3.5215,4.1720
1,5,16575675.7700,17165807.0000,17269735.0000,0.0012,0.0001,0.0000,3.5602,4.1872
1,6,17469574.7814,18102732.0000,18209139.0000,0.0014,0.0001,0.0000,3.6243,4.2334
1,7,17306941.2040,17931047.0000,18039820.0000,0.0013,0.0001,0.0000,3.6061,4.2346
1,8,15602499.8612,16141145.0000,16245200.0000,0.0011,0.0001,0.0000,3.4523,4.1192
1,9,17311844.6512,17938788.0000,18044148.0000,0.0012,0.0001,0.0000,3.6215,4.2301
1,10,16106927.4521,16667969.0000,16776120.0000,0.0011,0.0001,0.0000,3.4832,4.1547
1,11,16517157.1152,17107327.0000,17213769.0000,0.0012,0.0001,0.0000,3.5731,4.2175
1,12,16474364.5262,17054779.0000,17164115.0000,0.0011,0.0001,0.0000,3.5231,4.1868
1,13,17570189.6466,18214783.0000,18319844.0000,0.0013,0.0001,0.0000,3.6687,4.2666
1,14,16991816.5908,17594670.0000,17705190.0000,0.0014,0.0001,0.0000,3.5479,4.1983
1,15,16094273.8221,16659387.0000,16767846.0000,0.0012,0.0001,0.0000,3.5113,4.1852
1,16,15388978.3563,15923541.0000,16023235.0000,0.0012,0.0001,0.0000,3.4737,4.1215
1,17,16756585.8276,17350546.0000,17458194.0000,0.0012,0.0001,0.0000,3.5446,4.1871
1,18,17355784.9592,17977758.0000,18092624.0000,0.0013,0.0001,0.0000,3.5837,4.2455
1,19,16279089.7742,16853854.0000,16957208.0000,0.0012,0.0001,0.0000,3.5307,4.1656
1,20,16381012.7270,16959135.0000,17065235.0000,0.0012,0.0001,0.0000,3.5292,4.1769
1,21,16439666.4009,17014458.0000,17123804.0000,0.0012,0.0001,0.0000,3.4964,4.1615
1,22,18068549.0398,18723202.0000,18838594.0000,0.0013,0.0001,0.0000,3.6232,4.2618
1,23,16187803.9720,16758616.0000,16865251.0000,0.0012,0.0001,0.0000,3.5262,4.1849
1,24,16963656.0912,17567745.0000,17678683.0000,0.0012,0.0001,0.0000,3.5611,4.2151
1,25,15132726.5750,15653747.0000,15756914.0000,0.0012,0.0001,0.0000,3.4430,4.1248
1,26,16284585.1867,16858670.0000,16965013.0000,0.0022,0.0001,0.0000,3.5253,4.1784
1,27,17013002.7290,17618161.0000,17729607.0000,0.0013,0.0001,0.0000,3.5570,4.2121
1,28,16061753.2226,16618105.0000,16727150.0000,0.0012,0.0001,0.0000,3.4638,4.1427
1,29,16907474.0943,17516104.0000,17621813.0000,0.0013,0.0001,0.0000,3.5998,4.2250
1,30,16952913.2801,17563789.0000,17667354.0000,0.0012,0.0001,0.0000,3.6034,4.2143
2,1,17912653.3344,18561030.0000,18668281.0000,0.0011,0.0001,0.0000,3.6197,4.2184
2,2,15847990.8368,16415904.0000,16505312.0000,0.0012,0.0001,0.0000,3.5835,4.1477
2,3,17528609.0385,18165162.0000,18280365.0000,0.0012,0.0001,0.0000,3.6315,4.2887
2,4,18580189.4795,19251772.0000,19366827.0000,0.0014,0.0001,0.0000,3.6145,4.2337
2,5,16569309.2049,17146935.0000,17267716.0000,0.0012,0.0001,0.0000,3.4861,4.2151
2,6,16270372.0699,16839597.0000,16942568.0000,0.0013,0.0001,0.0000,3.4985,4.1314
2,7,16428605.5213,17016381.0000,17106590.0000,0.0013,0.0001,0.0000,3.5778,4.1269
