Scenario,Instance,LP Bound,Heuristic,Naive,Time LP (s),Time Heur (s),Time Naive (s),Gap Heur (%),Gap Naive (%)
1,1,888451715.8718,,989054186.5004,0.0720,,0.0001,,11.3233
1,2,960407768.6385,,1059436579.1786,0.0598,,0.0001,,10.3111
1,3,998224356.2069,,1108290182.5078,0.0585,,0.0001,,11.0262
1,4,971139473.5300,,1074231302.8463,0.0588,,0.0001,,10.6156
1,5,842553705.6414,,937126555.0316,0.0587,,0.0001,,11.2245
1,6,859552086.1433,,956656044.7478,0.0591,,0.0001,,11.2970
1,7,922656942.2119,,1024304810.5718,0.0586,,0.0001,,11.0169
1,8,1009579124.1452,,1101339481.1540,0.0592,,0.0001,,9.0890
1,9,914158383.8820,,998057380.2330,0.0588,,0.0001,,9.1777
1,10,958869818.7855,,1063839380.2109,0.0595,,0.0001,,10.9472
1,11,930489298.3058,,1025285399.6639,0.0601,,0.0001,,10.1878
1,12,935108329.5974,,1039291621.1231,0.0594,,0.0001,,11.1413
1,13,979140337.7176,,1093165434.8288,0.0597,,0.0001,,11.6454
1,14,1041295667.2706,,1153198924.1868,0.0656,,0.0001,,10.7465
1,15,966581208.4661,,1081568982.9052,0.0594,,0.0001,,11.8963
1,16,946192528.1514,,1052042831.6924,0.0704,,0.0001,,11.1870
1,17,816678804.4628,,916628567.4384,0.0606,,0.0001,,12.2386
1,18,987814512.0010,,1077056752.7953,0.0590,,0.0001,,9.0343
1,19,959276830.7124,,1048696818.5954,0.0595,,0.0001,,9.3216
1,20,976130226.6454,,1074087881.1900,0.0834,,0.0001,,10.0353
1,21,1010471762.0908,,1116989905.4930,0.0584,,0.0001,,10.5414
1,22,982564780.6257,,1076797154.7102,0.0586,,0.0001,,9.5904
1,23,928583784.7627,,1019207264.6705,0.0587,,0.0001,,9.7593
1,24,960523399.1251,,1063566451.0517,0.0588,,0.0001,,10.7278
1,25,922914154.5842,,1025823966.9797,0.0593,,0.0001,,11.1505
1,26,981135248.3448,,1077205041.3788,0.0595,,0.0001,,9.7917
1,27,885695645.1557,,978884780.7580,0.0595,,0.0001,,10.5216
