Scenario ID,Instance ID,LP Relaxation,Naive Heuristic,Time LP,Time Naive,Gap Naive (%)
1,1,16350409.8148,38191484.0467,0.0151,0.0002,133.5812
1,10,7207866.5481,30828589.3045,0.0028,0.0000,327.7075
1,11,7905792.9309,32886196.4110,0.0026,0.0000,315.9759
1,12,4513980.5767,24164082.4022,0.0023,0.0000,435.3165
1,13,7773030.2720,37650040.0989,0.0024,0.0000,384.3676
1,14,14973963.7974,46305797.2671,0.0025,0.0000,209.2421
1,15,16583441.7181,39369716.7184,0.0032,0.0000,137.4038
1,16,12403143.7140,34858615.8388,0.0024,0.0000,181.0466
1,17,7791262.7736,27012863.5182,0.0025,0.0000,246.7071
1,18,11343344.0250,39412767.9332,0.0023,0.0000,247.4528
1,19,9243075.9153,26828354.6388,0.0025,0.0000,190.2535
1,2,11276712.6302,39505259.6940,0.0026,0.0000,250.3260
1,20,10059537.4103,27550759.1877,0.0025,0.0000,173.8770
1,21,8978738.7204,26242596.8929,0.0023,0.0000,192.2749
1,22,8069581.9331,28224575.3564,0.0023,0.0000,249.7650
1,23,7512626.1308,38645138.2813,0.0023,0.0000,414.4025
1,24,5045805.3597,27725765.6369,0.0022,0.0000,449.4815
1,25,7313659.6784,34469827.1438,0.0025,0.0000,371.3075
1,26,4909284.7430,28325919.3221,0.0023,0.0000,476.9867
1,27,11587146.1934,30728651.9223,0.0024,0.0000,165.1960
1,28,7736162.0064,27863720.8993,0.0023,0.0000,260.1750
1,29,10203420.4321,32263024.6097,0.0024,0.0000,216.1981
1,3,11886687.8387,37496401.7795,0.0024,0.0000,215.4487
1,30,14601298.2443,29756701.8138,0.0026,0.0000,103.7949
1,4,8131432.0079,28046480.1738,0.0023,0.0000,244.9144
1,5,7139129.6850,24335555.3421,0.0023,0.0000,240.8757
1,6,9025977.7992,34689165.6060,0.0024,0.0000,284.3258
1,7,5864837.7710,28850590.8893,0.0024,0.0000,391.9248
1,8,8356225.3239,26073373.5528,0.0024,0.0000,212.0233
1,9,8206745.7625,30148468.6144,0.0024,0.0000,267.3620
2,1,9833069.3835,31973129.3536,0.0023,0.0000,225.1592
2,10,24703401.5117,41063319.7805,0.0024,0.0000,66.2254
2,11,6477940.0531,34489462.9770,0.0024,0.0000,432.4140
2,12,7480821.5188,24625145.8389,0.0023,0.0000,229.1770
2,13,8992292.7514,30045422.0540,0.0026,0.0000,234.1242
2,14,12587811.3533,31628588.7538,0.0023,0.0000,151.2636
2,15,13416183.0650,37345791.4009,0.0024,0.0000,178.3638
2,16,9961380.3578,32882313.1633,0.0023,0.0000,230.0980
2,17,15163483.2280,35470087.1274,0.0024,0.0000,133.9178
2,18,11994228.9172,34630207.9980,0.0023,0.0000,188.7239
2,19,13953896.6358,27815176.3143,0.0026,0.0000,99.3363
2,2,17083634.0570,33951850.3683,0.0023,0.0000,98.7390
2,20,7955659.6912,31233414.0048,0.0025,0.0000,292.5936
2,21,13355278.6740,37454174.6999,0.0025,0.0000,180.4447
