Scenario ID,Instance ID,LP Relaxation,Proposed Algorithm,Naive Heuristic,LP Time,Proposed Time,Naive Time,Proposed Gap (%),Naive Gap (%)
1,1,16560581.0203,16433574.6329,17674397.0000,0.0177,0.0002,0.0001,-0.7669,6.7257
1,2,16326396.0858,16202040.9460,17411660.0000,0.0023,0.0001,0.0001,-0.7617,6.6473
1,3,16217959.5251,16092458.4982,17296476.0000,0.0026,0.0002,0.0001,-0.7738,6.6501
1,4,15775295.3859,15655177.3241,16821172.0000,0.0025,0.0002,0.0001,-0.7614,6.6298
1,5,16464089.5135,16340696.5011,17567215.0000,0.0024,0.0001,0.0001,-0.7495,6.7002
1,6,17352228.0023,17209167.2848,18525799.0000,0.0022,0.0001,0.0001,-0.8245,6.7632
1,7,17186634.6735,17049946.9650,18352540.0000,0.0024,0.0001,0.0001,-0.7953,6.7838
1,8,15511014.0699,15388770.6336,16521800.0000,0.0027,0.0002,0.0001,-0.7881,6.5166
1,9,17193238.0844,17054782.3016,18357208.0000,0.0025,0.0001,0.0001,-0.8053,6.7699
1,10,16002601.4474,15882297.0180,17063340.0000,0.0023,0.0001,0.0001,-0.7518,6.6285
1,11,16405550.9434,16280409.2338,17510449.0000,0.0032,0.0001,0.0001,-0.7628,6.7349
1,12,16367918.3569,16244775.6855,17459035.0000,0.0025,0.0001,0.0001,-0.7523,6.6662
1,13,17447902.9881,17304388.6879,18638144.0000,0.0024,0.0001,0.0001,-0.8225,6.8217
1,14,16880890.1787,16746070.6940,18011390.0000,0.0024,0.0001,0.0001,-0.7987,6.6969
1,15,15996807.7709,15872000.5258,17055226.0000,0.0026,0.0001,0.0001,-0.7802,6.6164
1,16,15294692.6872,15176468.4226,16295655.0000,0.0024,0.0001,0.0001,-0.7730,6.5445
1,17,16645979.5002,16519649.2941,17759254.0000,0.0028,0.0002,0.0001,-0.7589,6.6879
1,18,17245938.3063,17104506.5652,18407004.0000,0.0022,0.0001,0.0001,-0.8201,6.7324
1,19,16174423.6396,16050358.3613,17248648.0000,0.0023,0.0001,0.0001,-0.7670,6.6415
1,20,16275386.5686,16152211.4154,17358635.0000,0.0024,0.0001,0.0001,-0.7568,6.6557
1,21,16337040.1343,16212578.8031,17418424.0000,0.0024,0.0002,0.0001,-0.7618,6.6192
1,22,17945862.1369,17792688.6668,19167394.0000,0.0024,0.0001,0.0001,-0.8535,6.8068
1,23,16084617.8871,15960450.3073,17154691.0000,0.0023,0.0001,0.0001,-0.7720,6.6528
1,24,16852809.6639,16722097.6724,17984183.0000,0.0023,0.0001,0.0001,-0.7756,6.7133
1,25,15042200.9837,14927026.4955,16024094.0000,0.0025,0.0001,0.0001,-0.7657,6.5276
1,26,16182819.0427,16060865.3830,17256533.0000,0.0023,0.0002,0.0001,-0.7536,6.6349
1,27,16902536.1760,16771271.9397,18036767.0000,0.0025,0.0001,0.0001,-0.7766,6.7104
1,28,15963147.2612,15841914.2365,17013350.0000,0.0023,0.0001,0.0001,-0.7595,6.5789
1,29,16794207.6244,16659928.5585,17926913.0000,0.0024,0.0001,0.0001,-0.7996,6.7446
1,30,16837646.8803,16705795.2822,17972534.0000,0.0024,0.0001,0.0001,-0.7831,6.7402
2,1,17799926.6739,17650777.3647,18992061.0000,0.0025,0.0001,0.0001,-0.8379,6.6974
2,2,15738604.5840,15617082.2749,16787812.0000,0.0023,0.0002,0.0001,-0.7721,6.6665
2,3,17406802.4549,17265929.4430,18597085.0000,0.0023,0.0001,0.0001,-0.8093,6.8380
2,4,18454702.6750,18284329.5672,19705647.0000,0.0023,0.0001,0.0001,-0.9232,6.7785
2,5,16463902.8727,16332011.0672,17565436.0000,0.0025,0.0001,0.0001,-0.8011,6.6906
2,6,16169405.9522,16036267.4946,17233508.0000,0.0025,0.0002,0.0001,-0.8234,6.5810
2,7,16323639.2305,16193127.2748,17402050.0000,0.0023,0.0001,0.0001,-0.7995,6.6064
2,8,17014986.7379,16884928.1392,18165052.0000,0.0022,0.0001,0.0001,-0.7644,6.7591
2,9,17671602.1128,17525817.4699,18850215.0000,0.0024,0.0001,0.0001,-0.8250,6.6695
2,10,16363148.9521,16238364.7659,17455644.0000,0.0025,0.0001,0.0001,-0.7626,6.6766
2,11,17313789.0665,17177989.7310,18494686.0000,0.0026,0.0001,0.0001,-0.7843,6.8206
2,12,15550766.4354,15415966.8477,16571037.0000,0.0022,0.0001,0.0001,-0.8668,6.5609
2,13,17541702.6485,17401816.2895,18711304.0000,0.0023,0.0001,0.0001,-0.7975,6.6675
2,14,15395880.2250,15270702.4177,16402661.0000,0.0022,0.0001,0.0001,-0.8131,6.5393
2,15,14908955.9217,14809511.8481,15931086.0000,0.0024,0.0001,0.0001,-0.6670,6.8558
2,16,16625100.4913,16484772.9340,17729842.0000,0.0024,0.0001,0.0001,-0.8441,6.6450
2,17,16647696.3865,16506746.6105,17744871.0000,0.0023,0.0001,0.0001,-0.8467,6.5905
2,18,16390675.7965,16261453.4898,17494927.0000,0.0023,0.0001,0.0001,-0.7884,6.7371
2,19,15766787.5356,15629790.3493,16777528.0000,0.0023,0.0001,0.0001,-0.8689,6.4106
2,20,17465234.2922,17316215.7528,18632696.0000,0.0025,0.0001,0.0001,-0.8532,6.6845
2,21,16157620.0140,16041537.6927,17217805.0000,0.0026,0.0001,0.0001,-0.7184,6.5615
2,22,16836455.5055,16698116.5034,17966389.0000,0.0022,0.0001,0.0001,-0.8217,6.7112
2,23,17427592.8548,17289030.8427,18580526.0000,0.0024,0.0001,0.0001,-0.7951,6.6156
2,24,17202668.6573,17059903.9439,18329861.0000,0.0023,0.0001,0.0001,-0.8299,6.5524
2,25,17113267.8175,16971047.2622,18227910.0000,0.0026,0.0001,0.0001,-0.8311,6.5133
2,26,15972158.2122,15836966.0787,17015731.0000,0.0023,0.0001,0.0001,-0.8464,6.5337
2,27,15885781.3723,15758853.1633,16939136.0000,0.0024,0.0001,0.0001,-0.7990,6.6308
2,28,15658880.1755,15553492.2809,16697661.0000,0.0022,0.0001,0.0001,-0.6730,6.6338
